city,country,pub_location
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",Canada,"New York, NY, Canada"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Bridgetown,Barbados,"Bridgetown, Barbados"
London,England,"London, England"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Place of publication not identified,,"Place of publication not identified,"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Minneapolis,United States,"Minneapolis, United States"
Munchen,Germany,"Munchen, Germany"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Washington, DC",United States,"Washington, DC, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Germany,Europe,"Germany, Europe"
Torino,Italy,"Torino, Italy"
Estonia,Europe,"Estonia, Europe"
Milan,Italy,"Milan, Italy"
Milan,Italy,"Milan, Italy"
Mexico City,Mexico,"Mexico City, Mexico"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,Europe,"London, Europe"
"New York, NY",United States,"New York, NY, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"Kendrick, ID",United States,"Kendrick, ID, United States"
"New York, NY",United States,"New York, NY, United States"
"Boulder, CO",United States,"Boulder, CO, United States"
Milan,Italy,"Milan, Italy"
"New York, NY",United States,"New York, NY, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Place of publication not identified,,"Place of publication not identified,"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
"New York, NY",United States,"New York, NY, United States"
Benin City,Nigeria,"Benin City, Nigeria"
"Portsmouth, NH",United States,"Portsmouth, NH, United States"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Kingston,Jamaica,"Kingston, Jamaica"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Boston, MA",United States,"Boston, MA, United States"
Abingdon,England,"Abingdon, England"
"New York, NY",United States,"New York, NY, United States"
London,Europe,"London, Europe"
"Portsmouth, NH",United States,"Portsmouth, NH, United States"
Oxford,England,"Oxford, England"
St. James,Barbados,"St. James, Barbados"
"Washington, DC",United States,"Washington, DC, United States"
"Chapel Hill, NC",United States,"Chapel Hill, NC, United States"
Place of publication not identified,,"Place of publication not identified,"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Pasadena,United States,"Pasadena, United States"
Saint Croix,Virgin Islands,"Saint Croix, Virgin Islands"
"New York, NY",United States,"New York, NY, United States"
Philipsburg,St. Maarten,"Philipsburg, St. Maarten"
St. Peter,Barbados,"St. Peter, Barbados"
Rhyl,Wales,"Rhyl, Wales"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Munich,Germany,"Munich, Germany"
Paramaribo,Suriname,"Paramaribo, Suriname"
"Manhattan, NY",United States,"Manhattan, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"New York, NY",United States,"New York, NY, United States"
Montreal,Canada,"Montreal, Canada"
London,England,"London, England"
Benque Viejo Del Carmen,Belize,"Benque Viejo Del Carmen, Belize"
Benque Viejo Del Carmen,Belize,"Benque Viejo Del Carmen, Belize"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Orléans,France,"Orléans, France"
"Washington, DC",United States,"Washington, DC, United States"
"New York, NY",United States,"New York, NY, United States"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
"New York, NY",United States,"New York, NY, United States"
"Los Angeles, CA",United States,"Los Angeles, CA, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
La Habana,Cuba,"La Habana, Cuba"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Vancouver, BC",Canada,"Vancouver, BC, Canada"
"Vancouver, BC",Canada,"Vancouver, BC, Canada"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Easthampton,Massachusetts,"Easthampton, Massachusetts"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Detroit, MI",United States,"Detroit, MI, United States"
"Chico, CA",United States,"Chico, CA, United States"
"Buffalo, NY",United States,"Buffalo, NY, United States"
London,England,"London, England"
Berlin,Germany,"Berlin, Germany"
Madrid,Spain,"Madrid, Spain"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"North Melbourne, Vic",Australia,"North Melbourne, Vic, Australia"
Norderstedt,Germany,"Norderstedt, Germany"
Norderstedt,Germany,"Norderstedt, Germany"
Havana,Cuba,"Havana, Cuba"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Zürich,Switzerland,"Zürich , Switzerland"
Berlin,Germany,"Berlin, Germany"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
London,England,"London, England"
"Watertown, MA",United States,"Watertown, MA, United States"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Brantford, ON","Brantford, ON","Brantford, ON, Brantford, ON"
"Toronto, ON",Canada,"Toronto, ON, Canada"
Toronto,Canada,"Toronto , Canada"
Perros-Guirec,France,"Perros-Guirec, France"
"Toronto, ON",Canada,"Toronto, ON, Canada"
Firenze,Italy,"Firenze, Italy"
Firenze,Italy,"Firenze, Italy"
"Durham, NC",United States,"Durham, NC, United States"
"Toronto, ON",Canada,"Toronto, ON, Canada"
Zurich,Switzerland,"Zurich, Switzerland"
Ontario,Canada,"Ontario, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
Perros-Guirec,France,"Perros-Guirec, France"
Quebec,Canada,"Quebec, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
,,","
"Toronto, ON",Canada,"Toronto, ON, Canada"
Frankfurt,Germany,"Frankfurt, Germany"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Krakow,Poland,"Krakow, Poland"
,,","
London,England,"London, England"
S.l.,,"S.l.,"
,,","
,,","
,,","
Nederland,,"Nederland,"
,,","
,,","
,,","
,,","
,,","
,,","
Montrouge,,"Montrouge,"
S.l.,,"S.l.,"
S.l.,,"S.l.,"
Amsterdam,,"Amsterdam,"
,,","
S.l.,,"S.l.,"
Amsterdam,,"Amsterdam,"
,,","
,,","
,,","
Taibei,,"Taibei,"
,,","
,,","
,,","
Matoury (Guyane Fran??aise),,"Matoury (Guyane Fran??aise),"
Paris; Dakar,,"Paris; Dakar,"
Paris,,"Paris,"
Paris,,"Paris,"
,,","
Matoury,,"Matoury,"
Paris,,"Paris,"
Paris,,"Paris,"
Paris,,"Paris,"
Nendeln,,"Nendeln,"
Paris,,"Paris,"
Baarn; Den Haag; Brussel,,"Baarn; Den Haag; Brussel,"
Nendeln (tr. Germany),,"Nendeln (tr. Germany),"
Fr??jus,,"Fr??jus,"
"Kingston; Miami, FL",,"Kingston; Miami, FL,"
,,","
"St. Mary/St. Catherine, Jamaica, W.I.",,"St. Mary/St. Catherine, Jamaica, W.I.,"
"Mona, Jamaica",,"Mona, Jamaica,"
,,","
,,","
Paris,,"Paris,"
Santo Domingo,,"Santo Domingo,"
Bornheim,,"Bornheim,"
Praha,,"Praha,"
La Habana,,"La Habana,"
Warszawa,,"Warszawa,"
,,","
Paris,,"Paris,"
,,","
,,","
,,","
"Chapel Hill, N.C.",,"Chapel Hill, N.C.,"
,,","
Prince Frederick,,"Prince Frederick,"
,,","
,,","
,,","
,,","
,,","
"North Andover, Mass.",,"North Andover, Mass.,"
"Columbus, O.H.",,"Columbus, O.H.,"
"Chapel Hill, N.C.",,"Chapel Hill, N.C.,"
,,","
,,","
,,","
"Prince Frederick, Md.; [Prince Frederick, Md.",,"Prince Frederick, Md.; [Prince Frederick, Md.,"
"New York, NY",,"New York, NY,"
,,","
,,","
Amsterdam,,"Amsterdam,"
Oxford,,"Oxford,"
"Toronto, ON",,"Toronto, ON,"
S.l.,,"S.l.,"
Warszawa,,"Warszawa,"
Quebec,Canada,"Quebec, Canada"
,,","
"Markham, ON",,"Markham, ON,"
Leeds,,"Leeds,"
"New York, NY",United States,"New York, NY, United States"
Leeds,,"Leeds,"
,,","
London,,"London,"
,,","
Place of publication not identified,,"Place of publication not identified,"
St. Lucia,,"St. Lucia,"
St. Lucia,,"St. Lucia,"
Philadelphia.,,"Philadelphia.,"
,,","
,,","
"New York, NY",,"New York, NY,"
"New York, NY; London",,"New York, NY; London,"
Place of publication not identified,,"Place of publication not identified,"
London,,"London,"
"New York, NY",,"New York, NY,"
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
S.I.,,"S.I.,"
Roseau,,"Roseau,"
"Roseau, Dominica",,"Roseau, Dominica,"
"New York, NY",,"New York, NY,"
,,","
,,","
"Roseau, Dominica, W.I.",,"Roseau, Dominica, W.I.,"
Baarn; Den Haag; Brussel,,"Baarn; Den Haag; Brussel,"
,,","
London; Kingston; Port of Spain,,"London; Kingston; Port of Spain,"
,,","
Milano,,"Milano,"
"New York, NY",,"New York, NY,"
,,","
Charlottesville,,"Charlottesville,"
Paris,,"Paris,"
,,","
Paris,,"Paris,"
,,","
Paris,,"Paris,"
,,","
,,","
,,","
,,","
Haiti,,"Haiti,"
,,","
,,","
,,","
,,","
Haiti,,"Haiti,"
Firenze,,"Firenze,"
,,","
,,","
Amsterdam,,"Amsterdam,"
,,","
Carouge-Geneve,Switzerland,"Carouge-Geneve, Switzerland"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Carouge-Geneve,Switzerland,"Carouge-Geneve, Switzerland"
Ankara,Turkey,"Ankara, Turkey"
Erlandson,Denmark,"Erlandson, Denmark"
Firenze,Italy,"Firenze, Italy"
Istanbul,Turkey,"Istanbul, Turkey"
Muir of Od,Scotland,"Muir of Od, Scotland"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
"Port Townsend, WA",United States,"Port Townsend, WA, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Leeds,England,"Leeds, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Fredericton, NB",Canada,"Fredericton, NB, Canada"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
"Spartanburg, SC",United States,"Spartanburg, SC, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
"Evanston, IL",United States,"Evanston, IL, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
"Los Angeles, CA",United States,"Los Angeles, CA, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
"Toronto, ON",Canada,"Toronto, ON, Canada"
Manchester,England,"Manchester, England"
"Urbana, IL",United States,"Urbana, IL, United States"
Cambridge,England,"Cambridge, England"
Wuppertal,Germany,"Wuppertal, Germany"
"Toronto, ON",Canada,"Toronto, ON, Canada"
Manchester,England,"Manchester, England"
"Pessac, BX",France,"Pessac, BX, France"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Manchester,England,"Manchester, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
Manchester,England,"Manchester, England"
Manchester,England,"Manchester, England"
Manchester,England,"Manchester, England"
"New York, NY",United States,"New York, NY, United States"
Munchen,Germany,"Munchen, Germany"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Bussum,Netherlands,"Bussum, Netherlands"
"Mineola, NY",United States,"Mineola, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"Stratford, ON",Canada,"Stratford, ON, Canada"
"Waterloo, ON",Canada,"Waterloo, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Middletown, CT",United States,"Middletown, CT, United States"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
